date,content,predicted_sentiment
2024-05-09 04:17:25+00:00,market wraps watch for uk interest rate decision trading updates from enel pirelli telefonica salvatore ferragamo airtel africa 3i group wood group itv opening call european stock 9800 chars,Positive
2024-05-09 05:46:43+00:00,apple hospitality reit nyseaple get free report was upgraded by investment analysts at stocknewscom from a sell rating to a hold rating in a report issued on tuesday separately bank of a 3868 chars,Positive
2024-05-09 06:42:29+00:00,apple cfo expects sales growth to return may 02 2024 at 0533 pm edt,Positive
2024-05-09 08:18:42+00:00,paragon financial partners inc lifted its position in shares of apple inc nasdaqaapl free report by 10 during the fourth quarter according to the company in its most recent filing with the 7436 chars,Positive
2024-05-09 08:18:43+00:00,kanawha capital management llc lowered its holdings in apple inc nasdaqaapl free report by 35 in the fourth quarter according to its most recent disclosure with the sec the institutional in 7415 chars,Positive
2024-05-09 08:18:43+00:00,mayport llc lowered its holdings in apple inc nasdaqaapl free report by 12 during the fourth quarter according to the company in its most recent filing with the sec the fund owned 20127 sh 6930 chars,Positive
2024-05-09 08:32:54+00:00,zurcher kantonalbank zurich cantonalbank boosted its position in shares of tootsie roll industries inc nysetr free report by 1072 during the 4th quarter according to its most recent form 13 3704 chars,Positive
2024-05-09 08:50:41+00:00,compass advisory group llc lifted its position in apple inc nasdaqaapl free report by 66 in the fourth quarter according to its most recent form 13f filing with the securities and exchange c 7127 chars,Positive
2024-05-09 08:50:41+00:00,essex private wealth management llc lowered its position in shares of apple inc nasdaqaapl free report by 48 in the fourth quarter according to its most recent 13f filing with the securities 7333 chars,Positive
2024-05-09 09:28:42+00:00,jamf holding corp nasdaqjamf get free report cfo ian goodkind sold 51439 shares of the businesss stock in a transaction dated friday may 3rd the stock was sold at an average price of 2007 4701 chars,Positive
2024-05-09 09:30:45+00:00,stocknewscom upgraded shares of hyatt hotels nyseh free report from a sell rating to a hold rating in a research note issued to investors on monday other equities analysts have also issued re 6127 chars,Positive
2024-05-09 09:51:06+00:00,montral qubec quebecor inc quebecor or the corporation today reported its consolidated financial results for the first quarter of 2024 first quarter 2024 highlights quebecor 11046 chars,Neutral
2024-05-09 11:04:49+00:00,jamf holding corp nasdaqjamf get free report insider linh lam sold 2200 shares of the companys stock in a transaction on friday may 3rd the shares were sold at an average price of 2003 f 4423 chars,Positive
2024-05-09 12:27:55+00:00,stock buybacks are all the rage right now highlighted by apples record program announced last week as public companies pile in nearly 1 trillion worth of buybacks amid the bigtech boom meet app 5249 chars,Negative
2024-05-09 14:33:01+00:00,a man wears a stop woke indoctrination sticker at cpac 2023chip somodevillagetty images this post originally appeared in the insider today newsletteryou can sign up for busines 6518 chars,Negative
2024-05-09 15:04:44+00:00,gruenheide germany march 25 in this aerial view newly completed tesla model y electric cars stand at the new tesla gigafactory electric car manufacturing plant on march 25 2022 near grue 8884 chars,Neutral
