date,content,predicted_sentiment
2024-05-09 05:50:41+00:00,microsoft co nasdaqmsft get free report has been assigned an average recommendation of moderate buy from the thirtyfour ratings firms that are currently covering the stock marketbeat report 6440 chars,Positive
2024-05-09 06:40:41+00:00,globant nyseglob get free report and silversun technologies nasdaqssnt get free report are both computer and technology companies but which is the superior business we will compare the tw 5788 chars,Positive
2024-05-09 08:18:42+00:00,g2 capital management llc oh cut its holdings in microsoft co nasdaqmsft free report by 139 in the fourth quarter according to the company in its most recent disclosure with the sec the ins 6484 chars,Positive
2024-05-09 08:50:41+00:00,clarius group llc decreased its stake in shares of microsoft co nasdaqmsft free report by 29 during the 4th quarter according to the company in its most recent disclosure with the securities 7010 chars,Positive
2024-05-09 08:50:41+00:00,hartford financial management inc cut its stake in microsoft co nasdaqmsft free report by 04 during the fourth quarter according to the company in its most recent form 13f filing with the s 6600 chars,Positive
2024-05-09 08:50:42+00:00,essex llc lowered its position in microsoft co nasdaqmsft free report by 30 during the fourth quarter according to the company in its most recent 13f filing with the securities and exchange 6234 chars,Positive
2024-05-09 08:50:42+00:00,meitav investment house ltd trimmed its position in shares of microsoft co nasdaqmsft free report by 156 during the fourth quarter according to its most recent disclosure with the securitie 6524 chars,Positive
2024-05-09 11:24:42+00:00,playstudios inc nasdaqmyps free report equities research analysts at northland capmk boosted their fy2024 earnings per share eps estimates for shares of playstudios in a research note issu 3908 chars,Positive
2024-05-09 12:27:55+00:00,stock buybacks are all the rage right now highlighted by apples record program announced last week as public companies pile in nearly 1 trillion worth of buybacks amid the bigtech boom meet app 5249 chars,Negative
2024-05-09 14:33:01+00:00,a man wears a stop woke indoctrination sticker at cpac 2023chip somodevillagetty images this post originally appeared in the insider today newsletteryou can sign up for busines 6518 chars,Negative
2024-05-09 16:00:00+00:00,los angeles may 09 2024 globe newswire glancy prongay amp murray llp gpm reminds investors of the upcoming june 17 2024 deadline to file a lead plaintiff motion in the class action filed 3485 chars,Neutral
2024-05-09 16:40:49+00:00,this is the published version of forbes cio newsletter which offers the latest news for chief innovation officers and other technologyfocused leaders click here to get it delivered to your inbox e 14259 chars,Positive
2024-05-09 17:51:28+00:00,why duolingo duol shares are plunging today what happened shares of languagelearning app duolingo nasdaqduol fell 199 in the morning session after the company reported firstquarter earnin 2533 chars,Positive
2024-05-09 20:17:06+00:00,experienced leader brings proven track record building global consumer brands funko inc nasdaq fnko a leading pop culture lifestyle brand today announced that its board of directors ha 8131 chars,Positive
2024-05-09 20:19:07+00:00,q1 net sales within guidance range gross margin and adjusted ebitda above expectations new ceo appointed funko inc nasdaq fnko a leading pop culture lifestyle brand today reported its c 37818 chars,Negative
2024-05-09 22:17:27+00:00,earnings release 1q24 adjusted ebitda grew by 54 with a margin of 74 the highest in the last four years net income of r30 million and total cash position of r90 billion magalus total s 38454 chars,Neutral
2024-05-09 22:41:15+00:00,stop me if youve heard this one before xbox stepped on a rake again for the umpteenth time in the past decade microsoft has found itself on the wrong end of bad news and as usual its selfinfl 7809 chars,Negative
2024-05-10 05:13:00+00:00,warren buffett speaks during the berkshire hathaway annual shareholders meeting in omaha nebraska on may 4 2024 this report is from this weeks cnbcs inside india newsletter which brings you 6396 chars,Neutral
2024-05-10 07:30:42+00:00,bandwidth nasdaqband get free report had its target price hoisted by equities researchers at keycorp from 2100 to 3200 in a note issued to investors on wednesday benzinga reports the firm 4628 chars,Positive
2024-05-10 08:10:47+00:00,live oak private wealth llc trimmed its stake in microsoft co nasdaqmsft free report by 10 during the fourth quarter according to its most recent disclosure with the securities and exchange 6882 chars,Positive
2024-05-10 08:50:40+00:00,ycg llc lowered its stake in shares of microsoft co nasdaqmsft free report by 02 in the fourth quarter according to its most recent filing with the securities and exchange commission sec 6477 chars,Positive
2024-05-10 08:50:40+00:00,citizens national bank trust department lifted its stake in shares of microsoft co nasdaqmsft free report by 05 in the 4th quarter according to the company in its most recent filing with the 6732 chars,Positive
2024-05-10 08:50:42+00:00,emc capital management reduced its stake in shares of microsoft co nasdaqmsft free report by 531 during the 4th quarter according to the company in its most recent form 13f filing with the s 6646 chars,Positive
2024-05-10 09:22:41+00:00,victory capital management inc decreased its position in shares of globant sa nyseglob free report by 500 during the 4th quarter according to the company in its most recent form 13f filing 4769 chars,Positive
2024-05-10 10:30:00+00:00,skip to contenttype your search and hit enter when you purchase through links in our articles we may earn a small commission this doesnt affect our editorial independence at a glancec 15089 chars,Neutral
2024-05-10 10:46:43+00:00,xcel wealth management llc cut its holdings in microsoft co nasdaqmsft free report by 16 in the 4th quarter according to its most recent 13f filing with the sec the fund owned 2029 shares 6550 chars,Positive
2024-05-10 10:46:43+00:00,newedge wealth llc lifted its position in microsoft co nasdaqmsft free report by 156 during the 4th quarter according to its most recent disclosure with the sec the fund owned 527040 share 6792 chars,Positive
2024-05-10 14:58:39+00:00,this week in business is our weekly recap column a collection of stats and quotes from recent stories presented with a dash of opinion sometimes more than a dash and intended to shed light on vari 22554 chars,Neutral
