date,content,headlines
2024-03-19T20:29:51Z,"Left to right: Ukrainian girls on a trampoline; an Egyptian child on a swing; dancing to the blues in a Mississippi juke joint.
Amnon Gutman for NPR, Fatma Fahmy for NPR, Rory Doyle for NPR
March 2… [+12967 chars]",Can a picture make you happy? We asked photographers and here's what they sent us
2024-04-16T15:37:36Z,"Cuba will expand its travel routes with Russia in hopes of re-awakening tourism from a post-pandemic slumber.
The Caribbean nation wants to let in about 200,000 Russians this year.
Already, Cuba ha… [+1972 chars]","Russia 'invades' Cuba: Island gears up to welcome 200,000 tourists on US doorstep..."
2024-03-28T11:48:52Z,"(Bloomberg) -- Emerging markets are closing the first quarter brimming with turnaround stories as investors in stocks and dollar bonds walk away with modest rewards, though a rally continues to elude… [+2913 chars]",Currencies Miss Emerging-Market Rebound Led by Reform Stories
2024-03-31T12:40:59Z,"All Global Research articles can be read in 51 languages by activating the Translate Website button below the authors name (only available in desktop version).
To receive Global Researchs Daily News… [+15449 chars]",Can Bibi Netanyahu be Stopped?
2024-03-19T23:19:21Z,"Dangote Group, Nestle Nigeria and MTN Nigeria, alongside four of Nigerias most capitalised companies, lost N1.7tn to the depreciation of the naira in 2023.
According to an analysis of their financia… [+5726 chars]","Dangote, MTN, others lose N1.7tn to naira depreciation"
2024-04-15T11:31:00Z,"Dublin, April 15, 2024 (GLOBE NEWSWIRE) -- The ""Egypt International Remittance Market Business and Investment Opportunities - Analysis by Transaction Value &amp; Volume, Inbound and Outbound Transfer… [+9038 chars]","Egypt International Remittance Business Report 2024-2028: No Tax on Remittances, Offering Land and Housing for US Dollars, Promoting Digital Channels"
2024-04-03T10:03:47Z,"Renaissance Capital Africa report suggests that 2024 has a positive outlook for Nigeria with a strengthening currency and a rise in oil prices.
Its latest report on economy review says that at the M… [+4585 chars]",Naira undervalued by 30% – Renaissance Capital
2024-03-26T01:12:45Z,"On March 17, a delegation of EU leaders visited Cairo. It announced that the EU Commission had decided to provide Egypt with finance totaling $8.1 billion (some 32 billion shekels) over three years, … [+6569 chars]",EU deal with Egypt to stem migration is morally ambiguous
2024-04-05T16:46:00Z,"For Egyptian President Abdel Fattah el-Sissi, the timing was perfect. The start of his third term as president coincided with a bonanza for his country.
When he was sworn in on Tuesday, el-Sissi pro… [+5757 chars]","Egypt: Cash helps now, but only reforms secure the future"
2024-04-13T23:08:15Z,"The Chief Executive Officer of FAE Limited, and Vice President of the Lagos Chamber of Commerce and Industry, Funlayo Okeowo, talks to NAOMI CHIMA about her business, entrepreneurship and other issue… [+19779 chars]","Manufacturing is bedrock of every economy — LCCI Vice President, Funlayo Bakare"
2024-03-26T11:45:07Z,"Welcome to the Cruelest Day: Tuesday, March 26 2024 and National Nougat Day. Nougat is described at the link as “a mixture of sucrose and corn syrup with a whipping agent to create its fluffy texture… [+21738 chars]",Tuesday: Hili dialogue
2024-04-10T04:24:27Z,"MARKET WRAPS 
Watch For: 
Italy retail sales; trading updates from Tesco, Bang &amp; Olufsen 
Opening Call: 
Shares may post gains in opening trade in Europe on Wednesday ahead of U.S. inflation … [+6311 chars]",EMEA Morning Briefing: Shares Set to Rise Ahead of U.S. CPI
2024-03-21T07:09:05Z,"21 March 2024
Centamin plc
(""Centamin"" or ""the Company"") (LSE:CEY, TSX:CEE)
FULL YEAR 2023 RESULTS
Audited results for the twelve months ended 31 December 2023
MARTIN HORGAN, CEO, COMMENTED: ""20… [+46129 chars]",Centamin : 2023 FINAL RESULTS
2024-04-06T11:45:45Z,"Welcome to Catur
Saturday, April 6, 2024, and shabbos for all Jewish cats, who are required to eat cold cat food, study the Talmud, and nap. It’s also National Caramel Popcorn Day, and the world’s b… [+14268 chars]",Saturday: Hili dialogue
2024-03-27T05:51:27Z,"Hello Friends
The 60 Days Rapid Revision (RaRe) Series is IASbabas Flagship Initiative recommended by Toppers and loved by the aspirants community every year.
It is the most comprehensive program w… [+63113 chars]","[DAY 21] 60 DAY RAPID REVISION (RaRe) SERIES for UPSC Prelims 2024 – ECONOMY, CURRENT AFFAIRS & CSAT TEST SERIES!"
2024-04-02T05:00:11Z,"2023 FULL YEAR RESULTS
 Very strong growth in EBITDA (+76%) and net income (29.6 million euros)
 Normalised EBITDA objectives achieved, and capacity objectives exceeded
 Setting 2024 objectives, c… [+40767 chars]",2023 FULL YEAR RESULTS
2024-04-02T05:00:00Z,"2023 FULL YEAR RESULTS
Very strong growth in EBITDA (+76%) and net income (29.6 million euros)
Normalised EBITDA objectives achieved, and capacity objectives exceeded
Setting 2024 objectives, conf… [+40685 chars]",2023 FULL YEAR RESULTS
2024-03-26T06:30:06Z,"Atos reports full year 2023 results
 Revenue: 10,693m, up +0.4% organically
 Eviden up +2.9% organically
 Tech Foundations down -1.7% organically
 Operating margin of 4.4% (467m), up +170 bps org… [+53986 chars]",Atos reports full year 2023 results
2024-03-26T06:02:06Z,"Orascom Development Holding AG / Key word(s): Annual Results/Annual ResultsOrascom Development Holding AG, has released its consolidated financial results for FY 2023. 26-March-2024 / 07:00 CET/CESTR… [+23616 chars]","Orascom Development Holding AG, has released its consolidated financial results for FY 2023."
2024-04-16T08:30:00Z,"Austin, TX, USA, April 16, 2024 (GLOBE NEWSWIRE) -- Custom Market Insights has published a new research report titled Organic Peroxide Market Size, Trends and Insights By Type (Ketone Peroxide, Diacy… [+22907 chars]","[Latest] Global Organic Peroxide Market Size/Share Worth USD 3.5 Billion by 2033 at a 4.5% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)"
2024-03-20T16:36:10Z,"4Q 2023 Earnings - Transcript
Webcast Presentation Q4 2023
Earnings Call Prepared Remarks March 19, 2024 8:30 am ET
Good morning everyone and thank you for joining the Fourth Quarter 2023 Earnings… [+24410 chars]",DLocal : Q4'23 Earnings Conference Call Transcript
