date,content,headlines
1970-01-01 00:00:00+00:00,[Removed],[Removed]
2024-04-25 04:11:48+00:00,"April 25 (Reuters) -
Apple lost its crown as China's biggest smartphone
seller in the first quarter of 2024 as its smartphone shipments
fell 6.6% from a year ago amid intense competition, prelimin… [+924 chars]","Apple loses top spot in China market with shipments down 6.6% in Q1, data shows"
2024-04-25 05:34:42+00:00,"Hyatt Hotels (NYSE:H – Get Free Report) had its price objective dropped by research analysts at Mizuho from $197.00 to $195.00 in a research report issued on Tuesday, Benzinga reports. The firm curre… [+5913 chars]",Mizuho Lowers Hyatt Hotels (NYSE:H) Price Target to $195.00
2024-04-25 06:20:41+00:00,"Hyatt Hotels (NYSE:H – Get Free Report) was downgraded by analysts at StockNews.com from a “hold” rating to a “sell” rating in a note issued to investors on Thursday.
A number of other research anal… [+5583 chars]",Hyatt Hotels (NYSE:H) Downgraded by StockNews.com to Sell
2024-04-25 08:12:45+00:00,"Bridges Investment Management Inc. lessened its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.5% during the fourth quarter, according to the company in its most recent 13F filing with the Secu… [+6761 chars]","Bridges Investment Management Inc. Sells 4,827 Shares of Apple Inc. (NASDAQ:AAPL)"
2024-04-25 11:40:12+00:00,Ankers official Amazon storefront is now offering its GaNPrime Power Bank for $62.99 shipped. Todays offer is down from the usual $100 price tag and is notably the first price cut in months. It has b… [+1769 chars],Anker’s GaNPrime PowerCore 65W plugs into the wall to refuel at new $63 low (Reg. $100)
2024-04-25 11:48:43+00:00,"Apple Inc. (NASDAQ:AAPL – Get Free Report)’s share price traded up 0.3% during trading on Tuesday . The company traded as high as $166.71 and last traded at $166.34. 13,442,888 shares traded hands du… [+6605 chars]",Apple (NASDAQ:AAPL) Trading 0.3% Higher
2024-04-25 12:18:35+00:00,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
If I had a dollar for every minute a flight Ive taken has been dela… [+8836 chars]",Forbes Daily: Biden Takes On ‘Junk Fees’ From U.S. Airlines
2024-04-25 12:32:45+00:00,"April 25 (Reuters) - Apple has rejected
Spotify's new version of its iOS app with in-app
pricing information for users in the European Union, the audio
streaming firm said on Thursday.
The Swedis… [+1628 chars]",Spotify says Apple has rejected its app update with price information for EU users
2024-04-25 17:37:49+00:00,"This is the published version of Forbes CIO newsletter, which offers the latest news for chief innovation officers and other technology-focused leaders. Click here to get it delivered to your inbox e… [+12238 chars]","As Meta Flexes AI Muscles, Is It Finding New Business Opportunities?"
