date,content,headlines
1970-01-01 00:00:00+00:00,[Removed],[Removed]
2024-04-25 05:08:43+00:00,Alphabet Inc. (NASDAQ:GOOGL – Get Free Report) shot up 1.1% during mid-day trading on Tuesday after KeyCorp raised their price target on the stock from $165.00 to $175.00. KeyCorp currently has an ov… [+6097 chars],Alphabet (NASDAQ:GOOGL) Shares Up 1.1% on Analyst Upgrade
2024-04-25 09:28:42+00:00,"Zurcher Kantonalbank Zurich Cantonalbank trimmed its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 15.4% in the fourth quarter, according to its most recent 13F filing with the Securities… [+6842 chars]",Alphabet Inc. (NASDAQ:GOOGL) is Zurcher Kantonalbank Zurich Cantonalbank’s 7th Largest Position
2024-04-25 10:40:44+00:00,"Avior Wealth Management LLC lowered its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 5.9% in the fourth quarter, according to the company in its most recent disclosure with the… [+6057 chars]","Avior Wealth Management LLC Sells 3,659 Shares of Alphabet Inc. (NASDAQ:GOOGL)"
2024-04-25 10:40:44+00:00,"Macroview Investment Management LLC grew its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 267.7% in the fourth quarter, according to its most recent Form 13F filing with the Securities a… [+6108 chars]",Macroview Investment Management LLC Purchases 854 Shares of Alphabet Inc. (NASDAQ:GOOGL)
2024-04-25 11:16:43+00:00,"Shares of Alphabet Inc. (NASDAQ:GOOG – Get Free Report) traded up 1% during mid-day trading on Tuesday . The stock traded as high as $159.94 and last traded at $159.53. 4,345,712 shares traded hands … [+5295 chars]",Alphabet (NASDAQ:GOOG) Trading 1% Higher
2024-04-25 11:40:12+00:00,Ankers official Amazon storefront is now offering its GaNPrime Power Bank for $62.99 shipped. Todays offer is down from the usual $100 price tag and is notably the first price cut in months. It has b… [+1769 chars],Anker’s GaNPrime PowerCore 65W plugs into the wall to refuel at new $63 low (Reg. $100)
2024-04-25 12:00:43+00:00,"Safeguard Financial LLC bought a new position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) during the 4th quarter, according to its most recent filing with the Securities and Exchange Comm… [+6075 chars]","Safeguard Financial LLC Takes $226,000 Position in Alphabet Inc. (NASDAQ:GOOGL)"
2024-04-25 12:58:42+00:00,"Elite Wealth Management Inc. lessened its holdings in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.9% in the fourth quarter, according to its most recent filing with the SEC. The firm ow… [+6366 chars]",Elite Wealth Management Inc. Cuts Stock Holdings in Alphabet Inc. (NASDAQ:GOOGL)
2024-04-25 13:56:47+00:00,"NEW YORK, NEW YORK - JANUARY 09: The exterior of the new headquarters of Google is seen at 550 ... [+] Washington Street in Hudson Square on January 09, 2024 in New York City. Designed by COOKFOX Arc… [+3273 chars]",Earnings Preview: What To Expect From Alphabet
2024-04-25 14:24:20+00:00,"Having the privilege to work in technology journalism gives me regular access to the latest laptops and PC components, which can be a blessing and a curse. On the positive side, I have hands-on insig… [+7705 chars]",I finally tried Windows 11 on ARM after four years of unfairly dismissing Qualcomm's misunderstood platform (and I'm obsessed)
2024-04-25 14:31:36+00:00,"Metas ad business keeps chugging along, thanks largely to investments in AI-based content recommendation and ad optimization.
The company reported its fifth consecutive quarter of revenue growth in … [+4962 chars]","Meta Reports Record Q1 Revenue, But Its Plan For The AI Long Game Has Investors Spooked"
