date,content,headlines
1970-01-01 00:00:00+00:00,[Removed],[Removed]
1970-01-01 00:00:00+00:00,[Removed],[Removed]
2024-04-25 01:58:24+00:00,"NEW YORK, April 24 (Reuters) - Rubrik, the
cybersecurity software startup that counts Microsoft
among its investors, on Wednesday priced its initial public
offering at $32 per share, above its ind… [+1738 chars]",Microsoft-backed Rubrik prices US IPO above range at $32/shr
2024-04-25 09:06:44+00:00,"Heartland Bank &amp; Trust Co trimmed its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 8.3% during the fourth quarter, according to its most recent disclosure with the Securities a… [+7035 chars]","Heartland Bank & Trust Co Sells 1,869 Shares of Microsoft Co. (NASDAQ:MSFT)"
2024-04-25 09:06:45+00:00,"BetterWealth LLC increased its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.2% in the fourth quarter, according to its most recent 13F filing with the Securities and Exchange Com… [+6754 chars]",BetterWealth LLC Purchases 109 Shares of Microsoft Co. (NASDAQ:MSFT)
2024-04-25 09:06:45+00:00,"Planning Alternatives Ltd. ADV boosted its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.1% in the fourth quarter, according to its most recent filing with the Securities &amp; Exchange Com… [+6531 chars]",Microsoft Co. (NASDAQ:MSFT) Stock Position Boosted by Planning Alternatives Ltd. ADV
2024-04-25 09:42:40+00:00,"Richard W. Paul &amp; Associates LLC trimmed its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 4.0% during the fourth quarter, according to the company in its most recent 13F filing with t… [+6522 chars]",Richard W. Paul & Associates LLC Trims Holdings in Microsoft Co. (NASDAQ:MSFT)
2024-04-25 09:42:40+00:00,"White Lighthouse Investment Management Inc. increased its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.0% during the fourth quarter, according to the company in its most recent d… [+6649 chars]",White Lighthouse Investment Management Inc. Grows Stock Holdings in Microsoft Co. (NASDAQ:MSFT)
2024-04-25 10:14:41+00:00,"Vanderbilt University raised its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 40.0% during the 4th quarter, according to its most recent filing with the Securities and Exchange Commission… [+6999 chars]",Microsoft Co. (NASDAQ:MSFT) is Vanderbilt University’s 10th Largest Position
2024-04-25 10:14:41+00:00,"Ballentine Partners LLC boosted its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 7.5% during the fourth quarter, according to the company in its most recent filing with the Securit… [+6656 chars]","Ballentine Partners LLC Buys 10,883 Shares of Microsoft Co. (NASDAQ:MSFT)"
2024-04-25 10:14:41+00:00,"Galibier Capital Management Ltd. lifted its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.9% during the 4th quarter, according to the company in its most recent Form 13F filing with the Sec… [+6399 chars]","Galibier Capital Management Ltd. Has $774,000 Stock Position in Microsoft Co. (NASDAQ:MSFT)"
2024-04-25 11:48:43+00:00,"Microsoft Co. (NASDAQ:MSFT – Get Free Report)’s share price rose 1.5% on Tuesday . The stock traded as high as $408.20 and last traded at $407.12. Approximately 4,306,904 shares changed hands during … [+6013 chars]",Microsoft (NASDAQ:MSFT) Stock Price Up 1.5%
2024-04-25 12:00:00+00:00,"Teslas earnings report after the bell Tuesday reenergized the Magnificent 7. Will other mega-cap tech stocks follow suit this week?
Investors cheered news that the Austin, Texas-based electric vehic… [+2555 chars]","Mag 7 ETF Investors Eye Big Tech Earnings, PCE"
2024-04-25 12:04:54+00:00,"Meta CEO Mark Zuckerberg.Getty Images
Mark Zuckerberg's net worth could shrink by $25 billion on Thursday.Meta's stock plunged 15% in premarket trading on Thursday as investors balk… [+2907 chars]",Mark Zuckerberg's wealth may slide $25 billion in a day as Big Tech faces $350 billion sell-off
2024-04-25 12:18:35+00:00,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
If I had a dollar for every minute a flight Ive taken has been dela… [+8836 chars]",Forbes Daily: Biden Takes On ‘Junk Fees’ From U.S. Airlines
2024-04-25 14:04:10+00:00,"NEW YORK, NY - MARCH 13: A signage of Microsoft is seen on March 13, 2020 in New York City. ... [+] Co-founder and former CEO of Microsoft Bill Gates steps down from Microsoft board to spend more tim… [+3831 chars]",Earnings Preview: What To Expect From Microsoft
2024-04-25 14:09:22+00:00,"US stocks sank Thursday morning after the latest GDP report showed that US economic growth slowed to 1.6% in the first quarter of the year, a much weaker pace than expected.
The Dow fell by 681 poin… [+2389 chars]",Dow sinks 680 points after GDP report shows a slowing economy amid stubborn inflation
2024-04-25 14:23:10+00:00,"A poor economic report and alarm over corporate earnings sent markets into a tizzy Thursday, as anxiety about a suffocating economic scenario threw a wet blanket on recent stock gains.
Thursday was … [+2897 chars]",Dow Plunges 700 Points—Worst Day In 14 Months As Disappointing GDP Report Accelerates Stagflation Fears
2024-04-25 14:24:20+00:00,"Having the privilege to work in technology journalism gives me regular access to the latest laptops and PC components, which can be a blessing and a curse. On the positive side, I have hands-on insig… [+7705 chars]",I finally tried Windows 11 on ARM after four years of unfairly dismissing Qualcomm's misunderstood platform (and I'm obsessed)
2024-04-25 14:31:36+00:00,"Metas ad business keeps chugging along, thanks largely to investments in AI-based content recommendation and ad optimization.
The company reported its fifth consecutive quarter of revenue growth in … [+4962 chars]","Meta Reports Record Q1 Revenue, But Its Plan For The AI Long Game Has Investors Spooked"
